rssid,url,db_date,found_date
1235,https://www.telecompaper.com/news/tokyo-ward-uses-private-5g-to-trial-remote-citizen-services--1549305,2025-09-29 06:31:00,None
11274,https://www.thesun.co.uk/news/36860036/trample-elephant-gore-river/,2025-09-29 09:34:36,None
5524,https://www.khabarmasr.com/news/get_news/993471/خبير-فلسطينى:-غارة-جوية-كل-دقيقة-على-غزة-والقصف-مستمر,2025-09-29 06:09:38,None
6403,https://www.snabusiness.com/article/1823615-%D8%A7%D9%94%D9%88%D9%83%D8%B3%D9%8A%D8%AF%D9%86%D8%AA%D8%A7%D9%84-%D8%AA%D9%82%D8%AA%D8%B1%D8%A8-%D8%A8%D9%8A%D8%B9-%D8%A7%D9%94%D9%88%D9%83%D8%B3%D9%8A-%D9%83%D9%8A%D9%85-%D8%A8%D9%8010-%D9%85%D9%84%D9%8A%D8%A7%D8%B1%D8%A7%D8%AA-%D8%AF%D9%88%D9%84%D8%A7%D8%B1,2025-09-29 05:56:21,None
12011,https://www.thetimes.com/life-style/driving/article/can-new-drivers-be-banned-for-using-the-waze-app-while-driving-ngvqvnzfb,2025-09-29 03:32:13,None
1804,https://ninanews.com/Website/News/Details?Key=1254279,2025-09-29 06:45:59,None
12162,https://www.standard.co.uk/lifestyle,2025-09-18 08:52:04,None
9073,https://now.asharq.com/videos/discovery/shows/xploration-diy/1766492/عودة-شغف-طلاب-دنفر-بالعلوم/,2025-09-29 08:46:35,None
9071,https://now.asharq.com/videos/discovery/shows/discovered-by-disater/1764752/أسرار-مدفونة-بين-بومبي-ويوتا/,2025-09-07 10:02:32,None
10358,https://www.forbesmiddleeast.com/ar/billionaires/arab-billionaires/saudi-arabia-tops-arab-world-in-billionaire-wealth-2025-1,2025-09-28 04:17:25,None
5549,https://www.khabarmasr.com/news/get_news/993629/مضاد-للالتهاب-ويدعم-صحة-القلب..-6-فوائد-صحية-مذهلة-للرمان,2025-09-29 09:09:56,None
7152,https://www.skynewsarabia.com/video/1823601-%D8%B4%D8%A7%D8%AD%D9%86%D8%A7%D8%AA-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF%D8%A7%D8%AA-%D8%A7%D9%95%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A%D8%A9-%D8%AA%D8%B9%D8%A8%D8%B1-%D9%85%D8%B9%D8%A8%D8%B1-%D8%B1%D9%81%D8%AD-%D9%82%D8%B7%D8%A7%D8%B9-%D8%BA%D8%B2%D8%A9,2025-09-29 06:09:49,None
11443,https://chat.whatsapp.com/H9lwfkOmjdd8W5fcRbXfV8,2025-09-02 12:01:35,None
11450,https://chat.whatsapp.com/H9lwfkOmjdd8W5fcRbXfV8,2025-09-02 12:00:04,None
7498,https://www.youtube.com/shorts/XVj-esV4u2w,2025-08-12 17:16:59,None
9072,https://now.asharq.com/videos/podcast/shows/korat-al-maal/1765003/هل-أصبح-القميص-ملعب-الاستثمار-الجديد/,2025-09-10 14:17:51,None
1231,https://www.ammanjo.co/article/246124,2025-09-29 00:00:00,None
7551,https://www.forbesmiddleeast.com/industry/business/gold-crosses-$3800-to-hit-all-time-high-silver-rises-on-expectations-of-further-fed-rate-cuts,2025-09-29 06:40:02,None
1090,https://www.addustour.com/articles/1520336,2025-09-28 15:01:33,None
6251,https://www.event.law.com/corpcounsel-gcc-southwest,2025-09-24 00:00:00,None
7146,https://www.skynewsarabia.com/world/1823435-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%AA%D9%87%D8%AF%D8%AF-%D8%AD%D9%84%D9%81-%D8%A7%D9%84%D9%86%D8%A7%D8%AA%D9%88-%D9%88%D8%AA%D8%AD%D8%B0%D8%B1-%D8%A7%D9%94%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D8%AE%D8%B7%D8%A7%D8%A8-%D8%A7%D9%84%D8%B9%D8%B3%D9%83%D8%B1%D9%8A,2025-09-27 21:55:40,None
7502,https://www.enigma-mag.com/yasmin-raeis/,2025-07-31 12:31:11,None
9074,https://now.asharq.com/videos/news/shows/big-cats-small-world/1762710/ملوك-الغابة/,2025-08-11 09:00:17,None
4845,https://news.az/news/death-toll-from-michigan-church-shooting-rises-to-4,2025-09-29 09:00:00,None
7463,https://enterprise.news/egypt/en/news/story/f770f26f-66f3-4135-a9dc-612e1dbb11b6/accor-wants-to-operate-22-new-hotels-in-egypt,2025-09-29 00:00:00,None
19,http://alamrakamy.com/article/81004,2025-09-28 09:45:04,None
12151,https://www.standard.co.uk/news/london,2025-09-05 18:04:40,None
49,https://www.enigma-mag.com/dj-black/,2025-08-31 14:48:33,None
4422,https://www.arabnews.jp/en/middle-east/article_156014/,2025-09-28 13:35:00,None
4313,https://www.elmashhad.online/post/view/13/Post/details/184073/%D8%A7%D9%84%D8%B3%D9%8A%D8%B3%D9%8A-%D9%8A%D9%88%D8%AC%D9%87-%D9%85%D8%AD%D8%A7%D9%81%D8%B8-%D8%A7%D9%84%D8%A8%D9%86%D9%83-%D8%A7%D9%84%D9%85%D8%B1%D9%83%D8%B2%D9%8A-%D9%88-%D8%A8%D9%85%D9%88%D8%A7%D8%B5%D9%84%D8%A9-%D8%AC%D9%87%D9%88%D8%AF-%D8%AE%D9%81%D8%B6-%D8%A7%D9%84%D8%AA%D8%B6%D8%AE%D9%85-%D9%88%D8%AA%D8%B9%D8%B2%D9%8A%D8%B2-%D8%A7%D9%84%D8%AA%D9%86%D8%B3%D9%8A%D9%82-%D9%84%D9%84%D8%AD%D9%81%D8%A7%D8%B8-%D8%B9%D9%84%D9%89-%D8%B3%D8%B9%D8%B1-%D8%B5%D8%B1%D9%81-%D9%85%D8%B1%D9%86,2025-09-28 12:00:16,None
1801,https://ninanews.com/Website/News/Details?Key=1254308,2025-09-29 09:46:11,None
1804,https://ninanews.com/Website/News/Details?Key=1254267,2025-09-29 06:00:52,None
2759,https://marebpress.net/news_details.php?lang=arabic&sid=213897,2025-09-28 16:40:16,None
