rssid,url,error_message
8995,https://www.alkhaleej.ae/2025-08-28/%D8%B7%D8%AD%D9%86%D9%88%D9%86-%D8%A8%D9%86-%D8%B2%D8%A7%D9%8A%D8%AF-%D9%81%D9%8A-%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D9%80-%D8%AA%D8%A7%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D9%83%D8%AB%D8%B1-%D8%AA%D8%A3%D8%AB%D9%8A%D8%B1%D8%A7%D9%8B-%D9%81%D9%8A-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-6059451/%D8%A3%D8%B3%D9%88%D8%A7%D9%82,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alkhaleej.ae/2025-08-28/%D8%B7%D8%AD%D9%86%D9%88%D9%86-%D8%A8%D9%86-%D8%B2%D8%A7%D9%8A%D8%AF-%D9%81%D9%8A-%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D9%80-%D8%AA%D8%A7%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D9%83%D8%AB%D8%B1-%D8%AA%D8%A3%D8%AB%D9%8A%D8%B1%D8%A7%D9%8B-%D9%81%D9%8A-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-6059451/%D8%A3%D8%B3%D9%88%D8%A7%D9%82 on URL https://www.alkhaleej.ae/2025-08-28/%D8%B7%D8%AD%D9%86%D9%88%D9%86-%D8%A8%D9%86-%D8%B2%D8%A7%D9%8A%D8%AF-%D9%81%D9%8A-%D9%82%D8%A7%D8%A6%D9%85%D8%A9-%D8%A7%D9%84%D9%80-%D8%AA%D8%A7%D9%8A%D9%85-%D8%A7%D9%84%D8%A3%D9%83%D8%AB%D8%B1-%D8%AA%D8%A3%D8%AB%D9%8A%D8%B1%D8%A7%D9%8B-%D9%81%D9%8A-%D8%A7%D9%84%D8%B0%D9%83%D8%A7%D8%A1-%D8%A7%D9%84%D8%A7%D8%B5%D8%B7%D9%86%D8%A7%D8%B9%D9%8A-6059451/%D8%A3%D8%B3%D9%88%D8%A7%D9%82
1800,https://ninanews.com/Website/News/Details?Key=1248828,Article `download()` failed with 403 Client Error: Forbidden for url: https://ninanews.com/Website/News/Details?Key=1248828 on URL https://ninanews.com/Website/News/Details?Key=1248828
2518,https://www.alweeam.com.sa/1193348/2025/%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%b3%d8%ac%d9%86-%d9%88%d8%ba%d8%b1%d8%a7%d9%85%d8%a9-%d9%84%d9%85%d9%88%d8%a7%d8%b7%d9%86%d9%8a%d9%86-%d9%884-%d9%85%d9%82%d9%8a%d9%85%d9%8a%d9%86-%d9%81/,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alweeam.com.sa/1193348/2025/%D8%A7%D9%84%D8%AA%D8%AC%D8%A7%D8%B1%D8%A9-%D8%B3%D8%AC%D9%86-%D9%88%D8%BA%D8%B1%D8%A7%D9%85%D8%A9-%D9%84%D9%85%D9%88%D8%A7%D8%B7%D9%86%D9%8A%D9%86-%D9%884-%D9%85%D9%82%D9%8A%D9%85%D9%8A%D9%86-%D9%81/ on URL https://www.alweeam.com.sa/1193348/2025/%d8%a7%d9%84%d8%aa%d8%ac%d8%a7%d8%b1%d8%a9-%d8%b3%d8%ac%d9%86-%d9%88%d8%ba%d8%b1%d8%a7%d9%85%d8%a9-%d9%84%d9%85%d9%88%d8%a7%d8%b7%d9%86%d9%8a%d9%86-%d9%884-%d9%85%d9%82%d9%8a%d9%85%d9%8a%d9%86-%d9%81/
5320,https://www.24.ae/914806,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.24.ae/914806 on URL https://www.24.ae/914806
4460,https://www.alaraby.co.uk/news/breaking#11750499,"Article `download()` failed with HTTPSConnectionPool(host='www.alaraby.co.uk', port=443): Max retries exceeded with url: /news/breaking (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)'))) on URL https://www.alaraby.co.uk/news/breaking#11750499"
17,https://www.alwafd.news/5671976,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alwafd.news/5671976 on URL https://www.alwafd.news/5671976
17,https://www.alwafd.news/5672031,Article `download()` failed with 403 Client Error: Forbidden for url: https://www.alwafd.news/5672031 on URL https://www.alwafd.news/5672031
1914,https://akhbarelyom.com/news/newdetails/4679655/1/%D9%88%D9%84%D9%8A%D8%AF-%D8%AF%D8%B1%D9%88%D9%8A%D8%B4-%D9%8A%D8%AC%D8%AA%D9%85%D8%B9-%D8%A8%D9%84%D8%A7%D8%B9%D8%A8%D9%8A-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A7%D9%84%D9%86%D8%A7%D8%B4%D8%A6%D9%8A%D9%86-%D8%A7,Article `download()` failed with 403 Client Error: Forbidden for url: https://akhbarelyom.com/news/newdetails/4679655/1/%D9%88%D9%84%D9%8A%D8%AF-%D8%AF%D8%B1%D9%88%D9%8A%D8%B4-%D9%8A%D8%AC%D8%AA%D9%85%D8%B9-%D8%A8%D9%84%D8%A7%D8%B9%D8%A8%D9%8A-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A7%D9%84%D9%86%D8%A7%D8%B4%D8%A6%D9%8A%D9%86-%D8%A7 on URL https://akhbarelyom.com/news/newdetails/4679655/1/%D9%88%D9%84%D9%8A%D8%AF-%D8%AF%D8%B1%D9%88%D9%8A%D8%B4-%D9%8A%D8%AC%D8%AA%D9%85%D8%B9-%D8%A8%D9%84%D8%A7%D8%B9%D8%A8%D9%8A-%D9%85%D9%86%D8%AA%D8%AE%D8%A8-%D8%A7%D9%84%D9%86%D8%A7%D8%B4%D8%A6%D9%8A%D9%86-%D8%A7
4443,https://almashhad.com/article/218257510540304-sports/315139102316892-%D8%A8%D8%AB-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%B6%D8%AF-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D9%81%D9%8A-%D9%83%D8%A3%D8%B3-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D9%84%D9%84%D8%B4%D8%A8%D8%A7%D8%A8-%D8%AA%D8%AD%D8%AA-20-%D8%B3%D9%86%D8%A9-%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D8%A9/,"Article `download()` failed with HTTPSConnectionPool(host='almashhad.com', port=443): Read timed out. (read timeout=15) on URL https://almashhad.com/article/218257510540304-sports/315139102316892-%D8%A8%D8%AB-%D9%85%D8%A8%D8%A7%D8%B4%D8%B1-%D9%84%D9%85%D8%A8%D8%A7%D8%B1%D8%A7%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9-%D8%B6%D8%AF-%D8%A7%D9%84%D9%8A%D9%85%D9%86-%D9%81%D9%8A-%D9%83%D8%A3%D8%B3-%D8%A7%D9%84%D8%AE%D9%84%D9%8A%D8%AC-%D9%84%D9%84%D8%B4%D8%A8%D8%A7%D8%A8-%D8%AA%D8%AD%D8%AA-20-%D8%B3%D9%86%D8%A9-%D9%85%D8%B9-%D8%A7%D9%84%D9%85%D9%88%D8%B9%D8%AF-%D9%88%D8%A7%D9%84%D8%AA%D8%B4%D9%83%D9%8A%D9%84%D8%A9/"
1165,https://dnyuz.com/2025/08/28/kenya-mulls-reforms-as-bribery-culture-faces-scrutiny/,Article `download()` failed with 403 Client Error: Forbidden for url: https://dnyuz.com/2025/08/28/kenya-mulls-reforms-as-bribery-culture-faces-scrutiny/ on URL https://dnyuz.com/2025/08/28/kenya-mulls-reforms-as-bribery-culture-faces-scrutiny/
9469,https://cnnbusinessarabic.com/tags/%D8%A8%D9%84%D9%88%D9%83-%D8%AA%D8%B4%D9%8A%D9%86,Article `download()` failed with 403 Client Error: Forbidden for url: https://cnnbusinessarabic.com/tags/%D8%A8%D9%84%D9%88%D9%83-%D8%AA%D8%B4%D9%8A%D9%86 on URL https://cnnbusinessarabic.com/tags/%D8%A8%D9%84%D9%88%D9%83-%D8%AA%D8%B4%D9%8A%D9%86
