rssid,url,db_date,found_date
10415,https://www.aajeg.com/news/breaking#11983551,2025-09-28 16:46:50,2025-09-29 00:00:00
7954,https://aawsat.com/node/5191472,2025-09-28 22:00:21,2025-09-29 00:00:00
214,https://www.nile.eg/%d9%88%d8%b2%d9%8a%d8%b1%d8%a9-%d8%a7%d9%84%d8%aa%d8%ae%d8%b7%d9%8a%d8%b7-%d9%88%d8%a7%d9%84%d8%aa%d8%b9%d8%a7%d9%88%d9%86-%d8%a7%d9%84%d8%af%d9%88%d9%84%d9%89-%d8%aa%d8%a8%d8%ad%d8%ab-%d9%85%d8%b9,2025-09-28 09:25:37,2025-09-29 00:00:00
381,https://sarabic.ae/20250928/لاريجاني-لا-أحد-يستطيع-إزالة-برنامج-إيران-النووي-1105373675.html,2025-09-28 15:36:21,2025-09-14 08:17:00
939,https://nile1.com/%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84%D9%8A%D8%A9-%D8%AA%D9%81%D9%83%D9%83-%D8%B4%D8%A7%D8%A6%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%A5%D8%AE%D9%88%D8%A7%D9%86-%D8%AD%D9%88%D9%84-%D9%88%D8%A7%D9%82%D8%B9/,2025-09-28 23:33:19,2025-09-29 02:33:19
1499,https://sarabic.ae/20250929/%D8%A3%D9%86%D8%B5%D8%A7%D8%B1-%D8%A7%D9%84%D9%84%D9%87-%D8%A7%D9%84%D9%8A%D9%85%D9%86%D9%8A%D8%A9-%D8%AA%D8%B9%D9%84%D9%86-%D9%82%D8%B5%D9%81-%D8%A3%D9%87%D8%AF%D8%A7%D9%81-%D8%AD%D9%8A%D9%88%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A8%D8%B5%D9%88%D8%A7%D8%B1%D9%8A%D8%AE-%D9%88%D9%85%D8%B3%D9%8A%D8%B1%D8%A7%D8%AA-1105390253.html,2025-09-29 08:25:00,2025-09-14 08:17:00
1208,https://www.aljarida.com/article/110276,2025-09-27 19:30:00,2025-09-28 20:54:00
2599,https://beiruttime-lb.com/%d8%aa%d8%b1%d8%a7%d9%85%d8%a8-%d9%88%d8%a8%d9%88%d8%aa%d9%8a%d9%86-%d9%87%d9%84-%d9%8a%d8%b6%d8%b9%d8%a7%d9%86-%d8%a7%d9%84%d9%82%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d8%a3%d9%88%d8%b1%d9%88%d8%a8%d9%8a/,2025-09-28 21:15:16,2025-09-29 00:15:16
5640,https://www.akhbarak.net/news/details/47932535/16/%D8%B1%D8%AD%D9%84%D8%A9-%D8%A8%D8%A7%D8%B3%D9%85-%D9%8A%D9%88%D8%B3%D9%81-%D9%81%D9%8A-%D8%A7%D9%84%D8%BA%D8%B1%D8%A8%D8%A9-%D9%82%D8%A8%D9%84-%D8%A7%D9%84%D8%B9%D9%88%D8%AF%D8%A9-%D9%84%D9%80-%D8%A7%D9%84%D8%B4%D8%A7%D8%B4%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D9%82%D8%AF%D9%85-%D9%86%D8%B5%D8%A7%D8%A6%D8%AD-%D8%B5%D8%AD%D9%8A%D8%A9-%D9%88%D8%B9%D8%B1%D9%88%D8%B6-%D8%A7-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D9%85%D8%B3%D8%B1%D8%AD-%D9%88%D8%A3%D9%84-%D9%81-%D9%83%D8%AA%D8%A8%D8%A7-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A-%D8%A7%D9%84%D9%8A%D9%88%D9%85,2025-09-28 09:45:09,2025-09-29 12:45:26.834702
6076,https://ppregypt.com/post/view/68/Post/details/11789/OPPO-%D8%AA%D8%B7%D9%84%D9%82-%D9%87%D8%A7%D8%AA%D9%81-OPPO-A-Pro-%D9%81%D9%8A-%D9%85%D8%B5%D8%B1-%D8%A8%D8%A8%D8%B7%D8%A7%D8%B1%D9%8A%D8%A9-%D9%85%D9%84%D9%84%D9%8A-%D8%A3%D9%85%D8%A8%D9%8A%D8%B1-%D9%88%D8%B4%D8%AD%D9%86-%D9%81%D8%A7%D8%A6%D9%82-%D8%A7%D9%84%D8%B3%D8%B1%D8%B9%D8%A9,2025-09-28 13:46:16,2025-09-29 00:00:00
